"pubchem_cid","species_name"
"72205800","unknown"
"11197","uncaria africana"
"unknown","plumeria alba"
"24862425","iodes cirrhosa"
"44445077","daemonorops draco"
"602258","citrus reticulata"
"11903","crocus sativus"
"13870571","acorus tatarinowii"
"10686","unknown"
"11441439","viburnum awabuki"
"53235716","trichoderma citrinum"
"15560423","melia azedarach"
"25180896","encephalartos altensteinii"
"5480299","calophyllum inophyllum"
"158223","annona glabra"
"44592554","rauvolfia cumminsii"
"3083618","unknown"
"52947089","unknown"
"24898244","laurencia rigida"
"unknown","ruta graveolens"
"10466745","unknown"
"11498684","centaurea solstitialis"
"unknown","streptomyces sp. cnr698"
"11197","ariopsis felis"
"90669995","unknown"
"44584350","isodon melissoides"
"unknown","micromonospora sp."
"10674014","lantana camara"
"unknown","diphasiastrum platyrhizoma"
"90670701","unknown"
"10879195","litsea verticillata"
"3084995","pterogorgia anceps"
"44448215","unknown"
"108168","aristolochia rotunda"
"12444597","cnidium monnieri"
"621620","unknown"
"3426","panax ginseng"
"23642922","eucalyptus froggattii"
"5319972","photinia serratifolia"
"23426231","shorea acuminata"
"5281519","zanthoxylum bungeanum"
"unknown","preussia minimoides"
"10084612","lasianthus fordii"
"14563815","cinnamosma madagascariensis"
"10032464","oryza sativa"
"3083618","streptomyces platensis"
"44566636","polianthes tuberosa"
"54695883","hypoxylon fuscum"
"44559806","unknown"
"25232021","pterocarpus macrocarpus"
"11197","pachygone dasycarpa"
"11197","unknown"
"44583713","unknown"
"44581727","unknown"
"72715093","kniphofia foliosa"
"72715428","ceramium botryocarpum"
"42638295","unknown"
"15747356","unknown"
"1796220","salvia pisidica"
"132488068","emerita analoga"
"unknown","piscidia piscipula"
"44444916","bethencourtia palmensis"
"44559179","garcinia scortechinii"
"53248454","cladonia grayi"
"10616178","annona squamosa"
"16038940","maharanga bicolor"
"13916049","balanops australiana"
"unknown","elaeocarpus angustifolius"
"44567184","oophaga granulifera"
"9832350","clinacanthus nutans"
"10907436","unknown"
"unknown","unknown"
"46899165","latimeria chalumnae"
"73350586","unknown"
"10358881","russula paludosa"
"unknown","garcinia cowa"
"44559771","justicia procumbens"
"25751148","ipomoea cristulata"
"12098451","erythrina abyssinica"
"51354124","bruguiera gymnorhiza"
"11734084","unknown"
"60200065","unknown"
"23260007","rudbeckia subtomentosa"
"4501","ventilago madraspatana"
"5317991","unknown"
"44579992","baccharoides anthelmintica"
"49866278","dracaena angustifolia"
"10065824","thelephora vialis"
"14633000","fraxinus quadrangulata"
"11712580","unknown"
"73353883","usnea florida"
"13934282","gouania lupuloides"
"6770","corydalis turtschaninovii"
"156336","angelica decursiva"
"5281176","portulaca grandiflora"
"5318045","boronia muelleri"
"68128","unknown"
"46229236","jurinea albicaulis"
"44583999","unknown"
"56659796","duguetia confinis"
"6453733","inula salsoloides"
"71461983","unknown"
"5319333","unknown"
"122187007","leonurus macranthus"
"57345561","unknown"
"16657205","ambrosia artemisiifolia"
"5282768","cannabis sativa"
"11179934","styrax japonicus"
"5320092","unknown"
"13916049","ocimum tenuiflorum"
"unknown","bowdichia virgilioides"
"70164","alchornea cordifolia"
"unknown","litsea lancifolia"
"25232020","ventilago madraspatana"
"11975378","huperzia miyoshiana"
"11464176","pseuduvaria indochinensis"
"10905721","pongamia pinnata"
"38351420","unknown"
"15944778","unknown"
"10604075","unknown"
"44567184","unknown"
"6324775","unknown"
"10919701","unknown"
"11122959","ligularia atroviolacea"
"111","homo sapiens"
"11771258","sansevieria ehrenbergii"
"10849534","unknown"
"unknown","chloranthus sessilifolius"
"44575408","boswellia papyrifera"
"13878151","juniperus brevifolia"
"5316884","platycladus orientalis"
"44583688","ophioplocus japonicus"
"70164","alexandrium excavatum"
"100967916","uncaria rhynchophylla"
"11302398","unknown"
"6452209","aronia arbutifolia"
"6453725","homo sapiens"
"11754973","oscillatoria princeps"
"15063342","unknown"
"unknown","xylaria cubensis"
"54736667","unknown"
"44159808","eucalyptus camaldulensis"
"15548728","unknown"
"46886871","unknown"
"unknown","artemisia sieversiana"
"70694563","stenocereus alamosensis"
"10071226","tripterospermum lanceolatum"
"185975","unknown"
"509269","arcyria denudata"
"6453733","solanum spirale"
"24879106","lonicera japonica"
"11994179","sideritis sventenii"
"23656470","mimosa pigra"
"unknown","unknown"
"12591","cistanche deserticola"
"18546463","unknown"
"3084606","acanthophora spicifera"
"44281346","euphorbia iberica"
"44612898","acinetobacter calcoaceticus"
"11751616","abelmoschus manihot"
"11178318","unknown"
"60200370","trididemnum cyanophorum"
"45482329","cavicularia densa"
"76330309","unknown"
"44567072","cystoseira mediterranea"
"5325817","unknown"
"5321620","unknown"
"10889124","chenopodium album"
"10694409","unknown"
"11631769","unknown"
"5319306","unknown"
"25751148","andinobates fulguritus"
"11570273","genipa americana"
"6432211","unknown"
"unknown","euphorbia neriifolia"
"44444914","etmopterus spinax"
"51041016","salvia lavandulifolia"
"9832350","rhododendron mucronulatum"
"25058102","unknown"
"5318644","targionia hypophylla"
"10438744","unknown"
"439423","pronephrium triphyllum"
"442728","umbilicaria hypococcinea"
"unknown","selaginella moellendorffii"
"22297613","papaver glaucum"
"102117085","austrobaileya scandens"
"unknown","croton crassifolius"
"5322095","pinus monophylla"
"44444915","lactarius mitissimus"
"45268886","unknown"
"52326187","rubus pileatus"
"70962","unknown"
"44566288","unknown"
"13870571","unknown"
"94160","unknown"
"unknown","carpha glomerata"
"152432","homo sapiens"
"76962086","hypericum triquetrifolium"
"23642923","eucalyptus froggattii"
"54799","clausena lansium"
"unknown","isodon serra"
"132520355","gersemia fruticosa"
"5354780","unknown"
"1796220","unknown"
"44566816","borrichia frutescens"
"12443227","helenium quadridentatum"
"40484424","paulownia tomentosa"
"9976675","unknown"
"15944778","xanthorhiza simplicissima"
"10469","stevia jaliscensis"
"442808","dalbergia odorifera"
"5318045","pycnandra acuminata"
"23656470","lactarius mitissimus"
"6440793","cavia porcellus "
"52951515","unknown"
"44420939","unknown"
"10669484","penicillium sp."
"11370504","leonurus japonicus"
"101316809","unknown"
"44444915","quercus marilandica"
"11678667","anisodus tanguticus"
"91666354","unknown"
"904795","hyptis tomentosa"
"11570273","gardenia jasminoides"
"6441280","negombata magnifica"
"44577210","andrographis paniculata"
"44179781","illicium oligandrum "
"16099372","guettarda speciosa"
"44613554","bupleurum scorzonerifolium"
"154279","parmotrema nilgherrense"
"11297287","phlogacanthus thyrsiflorus"
"91439","unknown"
"11607311","tetrapanax papyrifer"
"45482330","unknown"
"44568920","camellia sinensis"
"441885","unknown"
"10469","vallaris solanacea"
"442625","siphonaria diemenensis"
"23757219","hypericum ascyron"
"16681479","unknown"
"44358266","sarcococca saligna"
"71720444","sinularia depressa"
"639655","populus tremula"
"10373534","alcaligenes faecalis"
"50899959","unknown"
"14355112","unknown"
"10984902","unknown"
"10308838","unknown"
"157642","bombax malabaricum "
"44592857","panax japonicus"
"439423","unknown"
"24721539","blumea mollis"
"65806958","unknown"
"76322845","crepidiastrum lanceolatum"
"639655","astragalus inopinatus"
"45272280","garcinia hanburyi"
"5282768","amaryllis minuta"
"24763077","tinospora sinensis"
"23260007","pseudocentrotus depressus"
"13991587","mentha arvensis"
"unknown","dioscorea nipponica"
"5316819","chlorophytum borivilianum"
"14157896","dracaena cochinchinensis"
"23757219","cerinthe minor"
"132962218","ganoderma applanatum"
"442980","unknown"
"5282768","salmonella enterica"
"11178957","centella erecta"
"71717335","dahlia pinnata"
"46209786","unknown"
"71725699","unknown"
"10466745","unknown"
"12644642","unknown"
"11101102","gersemia rubiformis"
"21592304","azadirachta indica"
"134279","pseudomonas aeruginosa"
"10896840","unknown"
"23656471","unknown"
"11258097","ulmus thomasii"
"54671618","unknown"
"unknown","unknown"
"16109789","raphanus raphanistrum"
"10505737","unknown"
"44444914","hardenbergia violacea"
"unknown","chrysanthemum indicum"
"5748601","vincetoxicum hirundinaria"
"44577120","unknown"
"91895359","ligustrum japonicus "
"830726","morella pensylvanica"
"71451577","daldinia concentrica"
"45482330","unknown"
"442809","unknown"
"11092680","senecio flavus"
"11197","unknown"
"124396489","myristica fragrans"
"11165077","unknown"
"134279","epirrhoe sperryi"
"11903","crataegus pinnatifida"
"71607898","syzygium cumini"
"4056967","tephroseris kirilowii"
"unknown","stachybotrys chartarum"
"11398272","styrax japonicus"
"60200370","cyperus pedunculatus"
"44559588","cicuta maculata"
"5280656","unknown"
"11754973","corchorus trilocularis"
"unknown","trifolium resupinatum"
"15379012","cineraria geifolia"
"185766","unknown"
"6451093","lecanora straminea"
"46849027","unknown"
"unknown","unknown"
"442675","uncaria rhynchophylla"
"15601439","dalbergia nitidula"
"11297287","unknown"
"5318045","astilbe koreana"
"3085222","unknown"
"509270","wibelia divaricata"
"137399","sinomenium acutum"
"462205","unknown"
"unknown","unknown"
"6440617","araucaria angustifolia"
"15560101","saara hardwickii"
"11258097","isodon xerophilus"
"5319323","psychotria stachyoides"
"11708657","anemarrhena asphodeloides"
"46209907","unknown"
"5315947","clausena excavata"
"11197","monascus purpureus"
"6440928","plakortis halichondrioides"
"unknown","unknown"
"3083632","solanum aphyodendron"
"14331917","rhododendron simiarum"
"12067312","isodon rubescens "
"11793120","kokoona reflexa"
"5281946","schizanthus tricolor"
"21574474","portulaca oleracea"
"44583689","unknown"
"26495249","rhinocladiella similis"
"6920","flindersia xanthoxyla"
"unknown","unknown"
"unknown","callistemon rigidus"
"25111601","exserohilum rostratum "
"56666481","unknown"
"10068857","patrinia scabra"
"101893723","unknown"
"unknown","unknown"
"102442767","rubus pileatus"
"76327917","lilium candidum"
"21574192","fucus spiralis"
"56683358","pisonia aculeata"
"10914828","pinus sylvestris"
"25180896","unknown"
"73350586","unknown"
"92155","chromolaena laevigata"
"6453733","garcinia intermedia"
"91666354","frullania brittoniae"
"76962086","rhynchosporium orthosporum"
"unknown","cleistochlamys kirkii"
"12315463","metasequoia glyptostroboides"
"44575502","pyrenophora avenae"
"16099372","unknown"
"unknown","dactylospongia metachromia"
"5319333","albizia myriophylla"
"21775550","unknown"
"unknown","panax ginseng"
"10952744","unknown"
"unknown","rheum webbianum"
"10076785","senecio integerrimus"
"unknown","tinospora baenzigeri"
"13934282","unknown"
"3084995","streptomyces griseochromogenes"
"69736","pelophylax nigromaculatus"
"56931569","unknown"
"15224381","lespedeza floribunda"
"21625854","unknown"
"5281658","unknown"
"5281946","unknown"
"92155","salvia pubescens"
"unknown","calotropis gigantea"
"66554347","unknown"
"23656470","lepechinia urbanii"
"10071564","unknown"
"unknown","psychotria nemorosa"
"10046723","unknown"
"14331917","hippophae rhamnoides"
"12443227","balanophora japonica"
"44576129","unknown"
"14239683","pseudogymnoascus pannorum"
"45268014","garcinia hanburyi"
"15689618","unknown"
"4501","melanelixia fuliginosa"
"24878685","corymbia peltata"
"10788065","unknown"
"101792029","raperostelium monochasioides"
"10475842","ribes rubrum"
"unknown","euphorbia antiquorum"
"14108943","flindersia brayleyana"
"12094074","unknown"
"73346135","aspergillus ustus"
"unknown","chloranthus sessilifolius"
"5280656","frullania brasiliensis"
"46849027","unknown"
"unknown","sida cordifolia"
"10355169","unknown"
"16099372","sarcophyton trocheliophorum"
"72702313","unknown"
"134154141","unknown"
"6436239","unknown"
"13831068","litsea pungens"
"134139657","unknown"
"22841567","astragalus complanatus"
"5249326","aspergillus sp."
"10935441","aglaia perviridis"
"unknown","leplaea mayombensis"
"92221","laggera pterodonta"
"44585468","unknown"
"6321405","amomum villosum"
"10076785","empetrum nigrum"
"24879475","popillia japonica"
"509270","myelochroa aurulenta"
"46873593","physalis sordida"
"71745144","unknown"
"44614657","prosopis kuntzei"
"14282663","inula japonica"
"15226640","unknown"
"25311","rhaponticum uniflorum"
"38347252","ononis spinosa"
"15559669","unknown"
"44566641","buddleja officinalis"
"57393562","acacia orites"
"10076785","asplenium nidus"
"9997743","warionia saharae"
"73346125","leptothorax muscorum"
"96710","couepia polyandra"
"92221","thymus vulgaris"
"53235715","ulva prolifera"
"5318240","buphthalmum salicifolium"
"25136231","unknown"
"11629176","unknown"
"9832350","solanum americanum"
"442980","kibatalia laurifolia"
"16109699","angelonia integerrima"
"10506380","unknown"
"158223","shigella boydii"
"179304","acinetobacter calcoaceticus"
"10330086","unknown"
"57331970","streptomyces sp. rm72"
"53319618","angelica dahurica"
"11712580","aloe speciosa"
"5323543","unknown"
"54671618","burkholderia ambifaria"
"71461983","unknown"
"10919701","dorstenia cayapia"
"101623723","unknown"
"46905058","unknown"
"10695334","lyngbya majuscula"
"6436630","crotalaria nana"
"5319271","unknown"
"unknown","unknown"
"12592","lygodium japonicum"
"189457","cedrus libani"
"70962","unknown"
"44445426","unknown"
"10788065","narcissus pseudonarcissus"
"15108314","citrus medica"
"10017357","plakortis halichondrioides"
"9898760","salix japonica"
"21590544","unknown"
"11455867","euonymus maackii"
"10643638","unknown"
"10438744","stevia salicifolia"
"10914066","lonicera japonica"
"unknown","pseudomonas sp."
"44559084","belamcanda chinensis "
"76325952","crepis rubra"
"11629176","otostegia fruticosa"
"14105070","xenia puertogalerae"
"442979","unknown"
"10990534","cotinus coggygria"
"24585","mentha arvensis"
"442290","polygala tenuifolia"
"45276861","unknown"
"unknown","cornus officinalis"
"unknown","lidbeckia pectinata"
"52946192","teucrium polium"
"unknown","murraya tetramera"
"5281752","adonis sutchuenensis"
"unknown","unknown"
"11711264","unknown"
"21668794","unknown"
"185415","penicillium alutaceum"
"60200370","diplopterygium glaucum"
"unknown","hopea jucunda"
"25195094","beilschmiedia erythrophloia"
"44575480","ginkgo biloba"
"11607311","penicillium olsonii"
"16109699","taraxacum officinale"
"10017236","unknown"
"118723276","unknown"
"6437365","unknown"
"5281519","atractylodes lancea"
"11388986","ipomoea squamosa"
"657014","oldenlandia diffusa"
"10444597","commiphora myrrha"
"57392813","xanthostemon oppositifolius"
"56599669","lonicera japonica"
"134135869","unknown"
"44583689","astragalus inopinatus"
"11122959","unknown"
"10413810","unknown"
"122857","unknown"
"11216146","unknown"
"12310641","unknown"
"10959332","unknown"
"76321220","iris tectorum"
"14887605","unknown"
"unknown","unknown"
"73346754","unknown"
"5464170","iris tectorum"
"13870571","lophozonia menziesii"
"6441280","xanthorrhoea resinosa"
"46878902","unknown"
"21676297","pueraria montana"
"5281519","cyperus rotundus"
"16109790","microtropis fokienensis"
"10544575","unknown"
"127032434","unknown"
"12303802","micromonas pusilla"
"154279","mucuna holtonii"
"10576568","parasphaerasclera aurea"
"20055579","morinda citrifolia"
"165675","mentha arvensis"
"10694409","unknown"
"15548728","pinus halepensis"
"639655","gentiana olivieri"
"639655","delphinium cyphoplectrum"
"5280891","homo sapiens"
"16119667","emericellopsis minima"
"54691251","unknown"
"71530782","taiwanofungus camphoratus"
"90474163","unknown"
"5321960","gynostemma pentaphyllum"
"11666872","unknown"
"91439","machilus thunbergii"
"122857","cynanchum formosanum"
"unknown","unknown"
"50899855","unknown"
"529304","lonicera japonica"
"11751616","nelumbo nucifera"
"76307877","unknown"
"unknown","murraya microphylla"
"12096384","unknown"
"16038940","unknown"
"8710","mentha canadensis"
"unknown","oplopanax horridus"
"44559935","unknown"
"12309694","creosphaeria sassafras"
"10461942","gardenia jasminoides"
"unknown","rhizobium etli"
"unknown","preussia typharum"
"16745274","thelephora palmata"
"71726249","microcystis sp."
"46233487","unknown"
"185749","croton crassifolius"
"unknown","zoanthus vietnamensis"
"12097","atractylodes chinensis"
"44566708","artemisia igniaria"
"11712580","unknown"
"16657778","unknown"
"25311","homo sapiens"
"73205","glycyrrhiza uralensis"
"14274760","unknown"
"25137306","unknown"
"unknown","unknown"
"10067332","unknown"
"72191966","streptomyces sp. rm-4-15"
"16109764","erylus formosus"
"21573759","unknown"
"6321405","paederia scandens"
"11786187","vitex negundo"
"51039601","unknown"
"76334775","unknown"
"21625854","helichrysum anomalum"
"71452333","ducrosia anethifolia"
"11033566","unknown"
"160477","unknown"
"11725018","doryphora sassafras"
"14337025","amansia glomerata"
"14177663","jurinea albicaulis"
"440409","uvaria calamistrata"
"10699481","katsuwonus pelamis"
"18100","eleutherococcus giraldii"
"13891365","unknown"
"169738","artemisia lactiflora"
"44575264","angelica sinensis"
"11570897","globularia cordifolia"
"11043090","unknown"
"44583689","morus yunnanensis"
"11612119","unknown"
"185415","unknown"
"101888832","unknown"
"6446647","unknown"
"10466745","lepidium apetalum"
"unknown","camellia japonica"
"56926501","unknown"
"11498684","streptomyces viridogenes"
"11060498","lissoclinum bistratum"
"42645953","streptomyces alboniger"
"16091679","cucurbita foetidissima"
"10021151","saururus chinensis"
"7643","unknown"
"unknown","fallopia multiflora"
"13732723","aronia arbutifolia"
"122186896","scutellaria barbata"
"44575471","unknown"
"12443227","xanthoparmelia pokornyi"
"11342455","uvaria chamae"
"159663","homo sapiens"
"9928523","baccharis neglecta"
"44249909","magnolia praecocissima"
"76307877","unknown"
"60200370","viburnum erubescens"
"56834387","unknown"
"132577515","salvia plebeia"
"5322095","crinum latifolium"
"11164768","reticulidia fungia"
"6441280","syncarpia hillii"
"11513780","rhododendron aureum"
"5314231","unknown"
"86765315","unknown"
"185766","vatica diospyroides"
"10439492","gentiana olivieri"
"122181596","xylocarpus moluccensis"
"5321620","unknown"
"44559811","clematis chinensis"
"479267","ancistrocladus korupensis"
"5481882","rosa chinensis"
"unknown","salvia plebeia"
"134143960","ziziphus jujuba"
"21592236","unknown"
"71457653","paeonia suffruticosa"
"6920","lepidium graminifolium"
"unknown","aspergillus versicolor"
"44429737","unknown"
"76330309","pinus bungeana"
"12303810","cortinarius basirubescens"
"44583892","disepalum plagioneurum"
"487133","unknown"
"13831068","garcinia xipshuanbannaensis"
"9928523","unknown"
"53355123","senecio provincialis"
"20055286","unknown"
"68128","zingiber officinale"
"23634515","unknown"
"76311973","taraxacum officinale"
"5316590","limonium sinense"
"11297287","piper arboreum"
"unknown","colletotrichum gloeosporioides"
"11214625","carpobrotus edulis"
"6453733","unknown"
"53235715","helichrysum nudifolium"
"23656469","bethencourtia palmensis"
"44457227","canarium album"
"15747356","swertia franchetiana"
"10438744","ulmus laciniata"
"5317050","unknown"
"5283147","mus musculus"
"125468","aloe spicata "
"11268458","isodon rubescens "
"6440793","mus musculus"
"442789","hubertia tomentosa"
"71524397","aaptos suberitoides"
"38347252","hypericum polyanthemum"
"13831068","keiferia lycopersicella"
"44421660","lonchocarpus yucatanensis"
"12591","dolichos lablab "
"14274760","sarcophyton buitendijki"
"44561380","cassia siamea "
"15953774","unknown"
"4501","didymium bahiense"
"11146438","unknown"
"70696487","paepalanthus geniculatus"
"51354124","xylopia aethiopica"
"122195886","unknown"
"10475842","unknown"
"11715","platycarphella carlinoides"
"11227971","aplysina cauliformis"
"3819217","mentha x piperita"
"unknown","cneorum pulverulentum"
